filename,timestamp,time_taken,status,prompt_file,survey_type,isLocal,LIMIT,error
airidas-kano-7500_llama3-70b_V7_0,2024-05-06_071456,1184.721,OK,batch/prompts/airidas-kano-7500_llama3-70b_V7_prompts.json,KanoSurvey,True,,
eli-pers-7500_llama3-70b_V7_2,2024-05-06_073440,1487.952,OK,batch/prompts/eli-pers-7500_llama3-70b_V7_prompts.json,PersonalitySurvey,True,,
airidas-kano-7500_llama3-8b_V7_2,2024-05-06_075928,125.986,OK,batch/prompts/airidas-kano-7500_llama3-8b_V7_prompts.json,KanoSurvey,True,,
eli-kano-4000_llama3-8b_V7_1,2024-05-06_080134,125.481,OK,batch/prompts/eli-kano-4000_llama3-8b_V7_prompts.json,KanoSurvey,True,,
eli-kano-7500_llama3-8b_V7_2,2024-05-06_080340,131.116,OK,batch/prompts/eli-kano-7500_llama3-8b_V7_prompts.json,KanoSurvey,True,,
eli-kano-0_llama3-70b_V7_2,2024-05-06_080551,826.487,OK,batch/prompts/eli-kano-0_llama3-70b_V7_prompts.json,KanoSurvey,True,,
base-kano-29_llama3-70b_V7_0,2024-05-06_081937,68.451,OK,batch/prompts/base-kano-29_llama3-70b_V7_prompts.json,KanoSurvey,True,,
airidas-pers-7500_llama3-70b_V7_1,2024-05-06_082046,1447.605,OK,batch/prompts/airidas-pers-7500_llama3-70b_V7_prompts.json,PersonalitySurvey,True,,
airidas-kano-4000_llama3-8b_V7_2,2024-05-06_084453,116.657,OK,batch/prompts/airidas-kano-4000_llama3-8b_V7_prompts.json,KanoSurvey,True,,
airidas-kano-7500_llama3-8b_V7_1,2024-05-06_084650,125.228,OK,batch/prompts/airidas-kano-7500_llama3-8b_V7_prompts.json,KanoSurvey,True,,
eli-pers-7500_llama3-70b_V7_1,2024-05-06_084855,1482.699,OK,batch/prompts/eli-pers-7500_llama3-70b_V7_prompts.json,PersonalitySurvey,True,,
eli-kano-4000_llama3-8b_V7_2,2024-05-06_091338,128.123,OK,batch/prompts/eli-kano-4000_llama3-8b_V7_prompts.json,KanoSurvey,True,,
eli-kano-7500_llama3-8b_V7_1,2024-05-06_091546,132.307,OK,batch/prompts/eli-kano-7500_llama3-8b_V7_prompts.json,KanoSurvey,True,,
eli-pers-0_llama3-70b_V7_0,2024-05-06_091758,946.161,OK,batch/prompts/eli-pers-0_llama3-70b_V7_prompts.json,PersonalitySurvey,True,,
eli-kano-0_llama3-70b_V7_1,2024-05-06_093345,788.72,OK,batch/prompts/eli-kano-0_llama3-70b_V7_prompts.json,KanoSurvey,True,,
eli-pers-4000_llama3-70b_V7_0,2024-05-06_094653,1504.984,OK,batch/prompts/eli-pers-4000_llama3-70b_V7_prompts.json,PersonalitySurvey,True,,
airidas-kano-4000_llama3-70b_V7_2,2024-05-06_101158,988.764,OK,batch/prompts/airidas-kano-4000_llama3-70b_V7_prompts.json,KanoSurvey,True,,
eli-kano-4000_llama3-70b_V7_2,2024-05-06_102827,1058.237,OK,batch/prompts/eli-kano-4000_llama3-70b_V7_prompts.json,KanoSurvey,True,,
airidas-pers-4000_llama3-70b_V7_0,2024-05-06_104605,1313.027,OK,batch/prompts/airidas-pers-4000_llama3-70b_V7_prompts.json,PersonalitySurvey,True,,
base-pers-29_mixtral-8x22b_V7_2,2024-05-06_110758,142.562,OK,batch/prompts/base-pers-29_mixtral-8x22b_V7_prompts.json,PersonalitySurvey,True,,
base-kano-29_mixtral-8x22b_V7_1,2024-05-06_111021,62.796,OK,batch/prompts/base-kano-29_mixtral-8x22b_V7_prompts.json,KanoSurvey,True,,
base-pers-29_llama3-8b_V7_1,2024-05-06_111124,17.428,OK,batch/prompts/base-pers-29_llama3-8b_V7_prompts.json,PersonalitySurvey,True,,
base-kano-29_llama3-8b_V7_0,2024-05-06_111141,6.046,OK,batch/prompts/base-kano-29_llama3-8b_V7_prompts.json,KanoSurvey,True,,
base-kano-29_llama3-8b_V7_1,2024-05-06_111147,6.074,OK,batch/prompts/base-kano-29_llama3-8b_V7_prompts.json,KanoSurvey,True,,
airidas-kano-0_llama3-8b_V7_2,2024-05-06_111153,74.101,OK,batch/prompts/airidas-kano-0_llama3-8b_V7_prompts.json,KanoSurvey,True,,
base-kano-29_mixtral-8x22b_V7_0,2024-05-06_111307,80.636,OK,batch/prompts/base-kano-29_mixtral-8x22b_V7_prompts.json,KanoSurvey,True,,
base-pers-29_llama3-8b_V7_0,2024-05-06_111428,19.283,OK,batch/prompts/base-pers-29_llama3-8b_V7_prompts.json,PersonalitySurvey,True,,
airidas-pers-4000_llama3-70b_V7_1,2024-05-06_111447,1359.858,OK,batch/prompts/airidas-pers-4000_llama3-70b_V7_prompts.json,PersonalitySurvey,True,,
eli-kano-0_llama3-8b_V7_2,2024-05-06_113727,87.712,OK,batch/prompts/eli-kano-0_llama3-8b_V7_prompts.json,KanoSurvey,True,,
eli-pers-4000_llama3-70b_V7_1,2024-05-06_113855,1372.507,OK,batch/prompts/eli-pers-4000_llama3-70b_V7_prompts.json,PersonalitySurvey,True,,
eli-kano-0_llama3-70b_V7_0,2024-05-06_120147,743.409,OK,batch/prompts/eli-kano-0_llama3-70b_V7_prompts.json,KanoSurvey,True,,
eli-pers-0_llama3-70b_V7_1,2024-05-06_121411,904.466,OK,batch/prompts/eli-pers-0_llama3-70b_V7_prompts.json,PersonalitySurvey,True,,
eli-kano-7500_llama3-8b_V7_0,2024-05-06_122915,120.32,OK,batch/prompts/eli-kano-7500_llama3-8b_V7_prompts.json,KanoSurvey,True,,
